id,date,reaction_total,paid_reactions,poll_total_voters,format,word_count,link_count,has_question,has_cta,is_forwarded,text,text_snippet
2349,2025-10-28,112,0,0,text_only,61,0,True,True,False,"кстати, после вчерашних рассуждений, я поняла что действительно давно не проводила личных консультаций с селлерами

но появилась прикольная идея, разыграть консультацию среди вас (при соблюдении некоторых условий конечно)🎁🎁🎁

если кратко про формат конс: мы выходим на звонок под запись, и вы можете задать вопросы касательно своего магазина (лк, реклама и проч)

был бы актуален такой подарочек?)) ставьте реакции, чтоб я понимала🔥","кстати, после вчерашних рассуждений, я поняла что действительно давно не проводила личных консультаций с селлерами но появилась прикольная идея, разыграть консультацию среди вас (при соблюдении некоторых условий конечно)"
1466,2024-12-02,112,0,0,photo_post,37,0,False,False,False,"Завтра выкатим мини-сервис, по которому можно будет проверить выплаты ВБ и узнать, насколько ВБ вам недоплачивает (или все сходится) 🙏🙏 

пока разрабытываем
Лайк если ждете)

😊Форму заполните плиз выше, мне прям очень нужны и важны ваши ответы","Завтра выкатим мини-сервис, по которому можно будет проверить выплаты ВБ и узнать, насколько ВБ вам недоплачивает (или все сходится) 🙏🙏 пока разрабытываем Лайк если ждете) 😊Форму заполните плиз выше, мне прям очень нужны"
1319,2024-09-15,108,0,0,text_only,19,0,False,False,False,"Воскресный подгон от меня - таблица интересных ниш, которые можно сейчас рассматривать для продаж 

С Вас репост другу и реакция)","Воскресный подгон от меня - таблица интересных ниш, которые можно сейчас рассматривать для продаж С Вас репост другу и реакция)"
2507,2025-12-16,105,0,0,photo_post,36,0,True,False,False,"Вы уже посчитали, что сейчас для вас актуально по налогам в 2026? 
Бухгалтер супер табличку сегодня показал, разобрали, что именно мне выгодно, сравнили все системы 

Актуально вам такое? Или вы уже оливье кушаете?😁

Огонек, если актуально 🔥","Вы уже посчитали, что сейчас для вас актуально по налогам в 2026? Бухгалтер супер табличку сегодня показал, разобрали, что именно мне выгодно, сравнили все системы Актуально вам такое? Или вы уже оливье кушаете?😁 Огонек,"
2524,2025-12-20,100,90,0,photo_post,89,0,True,False,False,"Как можно спасти свои продажи в декабре, если у вас сезон тоже пошел не так, как ожидалось 
1) снижать цены, уже можно, чуда не будет , чтобы не остаться с остатками 
2) крутить рекламу нон стоп 
3) мы дополнительно применяем схему: берём креатив блогера в рилс, который залетал, и его повторно выкладываем в ПАБЛИКИ ВК, если крео хорошее - наберёт. Это хороший способ набрать трафика 

Сейчас я заметила что в этом году трафика меньше в 3 раза примерно, даже через рекламу у блогеров и рекламу вб, при тех же действиях 😭
Заметили?","Как можно спасти свои продажи в декабре, если у вас сезон тоже пошел не так, как ожидалось 1) снижать цены, уже можно, чуда не будет , чтобы не остаться с остатками 2) крутить рекламу нон стоп 3) мы дополнительно применя"
2394,2025-11-09,98,0,0,text_only,457,1,True,False,False,"Интересный актуальный расчет в белую 

Товар - https://www.wildberries.ru/catalog/208576056/detail.aspx
Код ТН ВЭД - 6212101000
Наименование - БЮСТГАЛТЕРЫ В НАБОРЕ, СОСТОЯЩЕМ ИЗ БЮСТГАЛТЕРА И ТРУСОВ, ПРЕДНАЗНАЧЕННОМ ДЛЯ РОЗНИЧНОЙ ПРОДАЖИ ТРИКОТАЖНЫЕ МАШИННОГО ИЛИ РУЧНОГО ВЯЗАНИЯ

Импортная пошлина 15%, НДС 20%
Кол-во товара 10000 шт, Вес 1000 кг, объем 9 м3, 30 мест

Цена 1 шт 25 юаней
Вид доставки (Сборный ЖД LTL) - 110$/m3, складские услуги в Китае 15$/м3

Курс юаня = 12р, курс доллара = 85р, страховка 0,5% от инвойса, СВХ 12 000 р, таможенное оформление 10000р

Детальный расчет:
Инвойсовая стоимость товара в юанях  = (25 юаней * 10000) * 1,13 = 282 500 юаней (Сумма в инвойсе 282 500 юаней (250 000 юаней стоимость товара + 13% экспортный НДС))

Инвойсовая стоимость товара в рублях = 282 500 * 12 = 3 390 000 рублей
Страховка товара в рублях = 3 390 000 * 0,5% = 16 950 рублей

Стоимость доставки в долларах = 110 * 9 = 990$ (495 $ до границы России, 495$ по России)
Стоимость доставки в рублях = 990$ * 85 = 84 150 р (42 075 р о границы России, 42 075 р по России)
Стоимость складских услуг в долларах = 15 * 9 = 135$
Стоимость складских услуг в рублях = 135 * 85 = 11475р
Таможенные платежи:
Таможенные сборы = 16524 р (стоимость товара в рублях 3 390 000, таможенные сборы по градации в зависимости от стоимости товара)

Таможенная стоимость = 3 390 000 р + 42 075 + 16 950 = 3449025 (считается как сумма инвойсовой стоимости товаров + стоимость доставки до границы + страховка)

Импортная пошлина =  3449025 * 15% = 517353,75 р (таможенная стоимость умножается на ставку импортной пошлины)

НДС к уплате = (3449025 + 517353,75) * 20% = 793 275,75 р (сумма таможенной стоимости и импортной пошлины * 20%)

Итого таможенные платежи = 16524 + 517353,75 + 793 275,75 = 1 327 153,5 р к уплате налогов при импорте

Общая сумма в рублях = 3 390 000 (стоимость товара) + 16 950 (страховка) + 84 150 (Доставка) + 11475р (складские услуги) + 12 000 (СВХ) + 10 000 (таможенное оформление) +   1 327 153,5 (таможенные платежи) = 4 851 728,50 рублей

Итоговая цена на 1 единицу в белую со всеми документами = 4 851 728,50  / 10000 = 485,17 р

В карго:
Комиссия за выкуп 3%
Юань 12,4, Доллар 90
Стоимость доставки - 3,4$/кг
Упаковка скотч мешок 30 мест (2 в 1) - 150$
Страховка 1% (282500/7,1) - 397$
Грузчики ЮВ - 90$

Примерный расчет доставки в долларах: 1050 кг (с учетом упаковки) * 3,5 + 150 (упаковка) + 397 (страховка) + 90 (грузчики) = 3675 + 150 + 397 + 90 = 4312 доллара
Примерный расчет доставки в рублях = 4312 * 90 = 388 080 р

Стоимость товара = (282500 * 12,4) * 1,03 = 3 608 090 р

Итоговая цена на 1 единицу в карго = (3 608 090 + 388 080) / 10000 = 399,61 р

Разница на единицу в 100 рублей , при белом ввозе

Скоро выкачу уроки (на след неделе, как возить в белую)

Ждете?:)","Интересный актуальный расчет в белую Товар - https://www.wildberries.ru/catalog/208576056/detail.aspx Код ТН ВЭД - 6212101000 Наименование - БЮСТГАЛТЕРЫ В НАБОРЕ, СОСТОЯЩЕМ ИЗ БЮСТГАЛТЕРА И ТРУСОВ, ПРЕДНАЗНАЧЕННОМ ДЛЯ РО"
1985,2025-06-05,98,0,0,text_only,5,0,True,False,False,Нужен эфир по контент-заводу?,Нужен эфир по контент-заводу?
921,2023-05-17,98,0,0,text_only,21,0,False,False,False,"В связи с этим родилась прекрасная тема, как работать с целевой аудиторией у блогеров. Чтобы реклама заходила 

Набираем 70🔥 и расскажу","В связи с этим родилась прекрасная тема, как работать с целевой аудиторией у блогеров. Чтобы реклама заходила Набираем 70🔥 и расскажу"
2176,2025-08-25,95,0,0,photo_post,212,0,True,False,False,"Бесплатный марафон по внутренней рекламе. Часть 4. Границы трафика ключей. 

Многие селлеры делают одну и ту же ошибку: начинают минусовать ключи из-за низкого CTR. На первый взгляд логично — низкий CTR = плохой ключ.
Но это не всегда так.

Что такое граница трафика?
У каждого ключа есть своя «граница» - то место, до которого долистывает твоя целевая аудитория.
Чем выше частотность ключа, тем больше выдача и тем дальше листают люди страницу, в поисках того самого конкретного 
И наоборот: чем ниже частотность, тем понятнее ключ, тем ближе граница, и выше шанс клика.

Пример:
Если ключ «платье» — высокочастотный, аудитория долистывает далеко, но CTR будет ниже, просто потому 
что конкуренция выше. Ключ не конкретный, там платья всех видов и в офис и вечернее и мини и миди. 

Если ключ «платье офисное синее» низкочастотный, пользователь видит твою карточку ближе к началу, CTR выше, потому что это конкретика. И тут важно соответствовать запросу. 

CTR напрямую зависит от границы трафика. Чем дальше твой ключ от «своей» границы, тем хуже кликабельность.
И минусовать такой ключ только по CTR = сливать себе трафик и занижать продажи.

🟢Правильнее оценивать ключи не по CTR в вакууме, а по связке:
частотность - граница трафика - CTR - конверсия - ДРР

След пост про виды рекламы, набираем 40🔥 и выкладываю 

Еще пишите актуальные вопросы в комменты по рекламе для след постов ⬇️",Бесплатный марафон по внутренней рекламе. Часть 4. Границы трафика ключей. Многие селлеры делают одну и ту же ошибку: начинают минусовать ключи из-за низкого CTR. На первый взгляд логично — низкий CTR = плохой ключ. Но э
2299,2025-10-09,91,0,0,photo_post,66,0,True,False,False,"Сегодня сбылась моя мечта со школы. Когда я училась а Лицее ВШЭ почти у всех были айМаки, а я ток мечтала о таком 

И вот спустя 5 лет после окончания школы, я наконец то себе его взяла. Купить могла конечно еще давно, но почему-то откладывала, как будто хотела чтобы мечта оставалась мечтой. Но емае, зачем? Пошла и купила 😁

Короче кайф, закрыла свою ооооочень старую хотелку","Сегодня сбылась моя мечта со школы. Когда я училась а Лицее ВШЭ почти у всех были айМаки, а я ток мечтала о таком И вот спустя 5 лет после окончания школы, я наконец то себе его взяла. Купить могла конечно еще давно, но "
1525,2024-12-20,91,0,0,photo_post,8,0,False,False,False,Ляяяяяяя. Это лучший подарок на свадьбу от жизни 😂😂🤘🤘,Ляяяяяяя. Это лучший подарок на свадьбу от жизни 😂😂🤘🤘
1688,2025-02-16,88,2,0,video_post,27,1,True,False,False,"🔥 ЛАЙФХАК: КАК СДЕЛАТЬ НОВУЮ ФОТОСЕССИЮ НА ОСНОВЕ УЖЕ ГОТОВЫХ ФОТО, БЕЗ ФОТОГРАФОВ И СТУДИЙ? 

Смотрите туториал 🔼🔼
Лайк и отправляй другу

Бот:@syntxaibot
Сайт:https://www.krea.ai","🔥 ЛАЙФХАК: КАК СДЕЛАТЬ НОВУЮ ФОТОСЕССИЮ НА ОСНОВЕ УЖЕ ГОТОВЫХ ФОТО, БЕЗ ФОТОГРАФОВ И СТУДИЙ? Смотрите туториал 🔼🔼 Лайк и отправляй другу Бот:@syntxaibot Сайт:https://www.krea.ai"
2300,2025-10-09,87,1,0,photo_post,51,0,False,False,False,"Ладно поделюсь еще одной своей мечтой, два года назад я взяла себе мерс, потому что не могла взять порш, разница была в 4 млн, ощутимая на тот момент для меня, а это тоже мой гештальт, так что в течение полугода обязательно его закрою

я хотю с бежевым салоном, сейчас в поисках","Ладно поделюсь еще одной своей мечтой, два года назад я взяла себе мерс, потому что не могла взять порш, разница была в 4 млн, ощутимая на тот момент для меня, а это тоже мой гештальт, так что в течение полугода обязател"
1413,2024-11-11,84,0,0,text_only,41,0,False,False,False,"сейчас слоты ловлю через гугл таблицу, мы ее с разработчиком делали (завтра скажу как ее получить)

в ОТЛИЧИЕ от бота, она обновляется каждые 10 секунд, а все боты в тг уведомелния присылают с задержкой, поэтому когда заходишь на вб слотов нет 🤡","сейчас слоты ловлю через гугл таблицу, мы ее с разработчиком делали (завтра скажу как ее получить) в ОТЛИЧИЕ от бота, она обновляется каждые 10 секунд, а все боты в тг уведомелния присылают с задержкой, поэтому когда зах"
2464,2025-12-06,81,3,0,video_post,75,2,True,False,False,"Записала видео как генерировать бесплатно полноценные фото для вб , в разных ракурсах и экономить на фотосъемках. Ну и так чтобы не было видно, что это вообще ИИ. Используем Нану Банану , Миджорни, СиДрим

Видео тут: https://rutube.ru/video/a1c5b74f21b6fb26ad3d8b1b5d44d665/

Я пользуюсь ботом https://t.me/syntxaibot?start=aff_5592141839
Но можно и взять аккаунт на ggsel, но мне 700 руб хватило на 4 генераций 😆

С вас огонь и репост асистенту, если делать больше такого бесплатного контента","Записала видео как генерировать бесплатно полноценные фото для вб , в разных ракурсах и экономить на фотосъемках. Ну и так чтобы не было видно, что это вообще ИИ. Используем Нану Банану , Миджорни, СиДрим Видео тут: http"
1582,2025-01-17,80,0,0,text_only,38,0,False,False,False,"Мысль дня:

сейчас мне 22 
Благодаря дисциплине и ежедневным действиям к 30 годам у меня уже может быть абсолютно все: 
Постоянный бизнес 
Пассивный доход 
Команда 
Семья 

Вопрос только в том чтобы каждый день наполнять свою жизнь дисциплиной. Вдохновляет",Мысль дня: сейчас мне 22 Благодаря дисциплине и ежедневным действиям к 30 годам у меня уже может быть абсолютно все: Постоянный бизнес Пассивный доход Команда Семья Вопрос только в том чтобы каждый день наполнять свою жи
781,2023-02-13,76,0,0,text_only,339,0,True,False,False,"Как мои родители относятся к тому, что я не пошла в универ и начала выстраивать бизнес?
⠀
Хотелось бы начать с того, что моей маме 61, а папе 56 лет. Казалось бы, что это люди консервативных взглядов и советской закалки, но это далеко не так😉
⠀
Я начала самостоятельную жизнь с 12 лет, когда родители уехали в Москву, чтобы сделать мою жизнь лучше. Тогда я осталась с бабушкой, у которой была болезнь Альцгеймера и она все забывала. Т.е. я полностью была самостоятельная и готовила себе.
⠀
Мой день выстраивался следующим образом: я шла в школу, после ехала в музыкальную школу, где находилась до 17-18 вечера. Приезжала домой, делала уроки, готовила и шла спать. Получался такой полноценный рабочий день 😂😂
⠀
После 9 класса я пробовала самостоятельно поступать в Москву и поступила в лицей при ВШЭ. Родители поддержали меня в этом решении переезда, так я начала полноценную самостоятельную жизнь в другом городе.
⠀
Семья у меня не богатая. Мама всегда начинала различные предпринимательские проекты, чтобы заработать. Например, в советское время она возила вещи из Польши и перепродавала их на Колхозном рынке в Чебоксарах, а папа ее поддерживал, так они заработали на нашу квартиру. Позже родители открыли типографию.
Я всегда видела пример того, что нужно работать на себя. И чтобы не происходило, не смотря на то, что заработок не всегда будет хорошим - предпринимательская деятельность лучшее решение 💸
⠀
В 10-11 классе я начала смотреть в сторону заработка, понимала, что не пойду в университет. Денег на платное образование у нас не было, а чтобы поступить на бюджет нужно было уделять все свое время на олимпиады и учебу 24/7, т.к. это был один из лучших ВУЗов страны.
⠀
Об это решении я рассказала родителям и получила поддержку. Они сказали, что если мне так будет комфортно, то пожалуйста, работай и зарабатывай.
⠀
❤️❤️❤️❤️Я до сих пор всегда советуюсь с мамой, т.е. это в плане не каких-то практических вещей, а именно в плане получении эмпатии, софт-скиллов. Например, спросить у мамы: ""Как думаешь, как правильнее поступить …?""
⠀
Такие вот доверительные отношения у меня с родителями, полные поддержки и понимания🥰","Как мои родители относятся к тому, что я не пошла в универ и начала выстраивать бизнес? ⠀ Хотелось бы начать с того, что моей маме 61, а папе 56 лет. Казалось бы, что это люди консервативных взглядов и советской закалки,"
2222,2025-09-12,75,0,0,photo_post,363,0,True,False,False,"Мое рабочее место. Здесь я провожу 60% времени недели 

Сейчас будет пост про мою жизнь, рутину и что я делаю чтобы приходить к результату. Посты про инструменты это конечно круто. Но то, насколько мы применяем инструменты в жизни это зависит от нашего уклада и от того как устроены мы сами. 

Как писала выше 60% времени я провожу в работе 
Еще 20% трачу на движение: бокс, прогулки с собакой и пробежки 
10% на встречи с друзьями 

Я не хожу на тусовки, на встречи, не состою в сообществах. Работа для меня это творческий процесс. Поэтому получается что 60% времени я творю. Я уверена, что человеку чтобы сделать результат надо погрузиться в себя. Когда ты себя хорошо знаешь - все свершается очень быстро. 

За (получается уже) 5 лет в бизнесе я научилась относится к задачам как просто задачам и минимально наделять их эмоциями. Моя жизнь не зависит от успеха или не успеха в работе. Поэтому за счет такого отношения я очень быстро двигаюсь

Также мне повезло изначально с дисциплиной. С 18 лет как я начала работать, так и продолжаю, и это делаю с огромным желанием каждый день. Это важный пункт. Дисциплина = регулярность. Заметила, что те, кто начинают работать на себя позже, например после 26, им намного сложнее перестроиться. Прям единицы действительно добиваются результата. Почему-то очень много мусора в голове, который тормозит. Поэтому если у вас есть дети, делайте реально так, чтобы, если им нравится, они сразу работали на себя и монетизировали свои таланты. Я не ходила в универ. Сразу в 11 классе как начала крутиться вертеться в товарке, так и продолжаю по сей день. 

Про таланты - тоже важно. Есть то, что есть с детства, а есть то , чему можно научится. И научиться кончено можно всему. Но в начале очень важно использовать все свои таланты, это супер монетизация. Например у меня классно получается быстро погружаться в новое., нет каких-то страхов. А у кого-то классно получается с людьми работать, тогда стоит бизнес начинать с команды своей. 

У меня нет коуча, психолога и чего-то такого. Все свои вопросы я решаю сама. В этом мне помогает метод эмоциональной зрелости который я изучаю уже 5 лет получается 😅 с 18ти начала 

У вас какой главный принцип в получение результата?⬇️","Мое рабочее место. Здесь я провожу 60% времени недели Сейчас будет пост про мою жизнь, рутину и что я делаю чтобы приходить к результату. Посты про инструменты это конечно круто. Но то, насколько мы применяем инструменты"
2206,2025-09-02,74,0,0,photo_post,76,0,False,False,False,"Это вопрос ТОП 1 за крайний месяц, у меня есть курс по контент-заводу, и у нас там целое комьюнити на 130 человек уже селлеров, обмениваемся опытом 

Курс чисто символически стоит 9к, просто по приколу сделала его еще в начале лета. Сложилось интересно, что образовался такой активный чат обмена опытом 

Хорошая новость - такое же решила сделать по рекламе на ВБ. Завтра расскажу все подробнее, тоже будет комьюнити по внутр рекламе, вместе с уроками. Огонь, если актуально 🔥","Это вопрос ТОП 1 за крайний месяц, у меня есть курс по контент-заводу, и у нас там целое комьюнити на 130 человек уже селлеров, обмениваемся опытом Курс чисто символически стоит 9к, просто по приколу сделала его еще в на"
1661,2025-02-12,74,1,0,photo_post,8,0,True,False,False,Нужен гайд как с пойзона в рф заказать?,Нужен гайд как с пойзона в рф заказать?
